,Nodes,Edges,Latitude,Longitude
87,"State Key Laboratory of Millimeter Waves, Southeast University, Nanjing, China","[""School of Physics, Southwest University, Chongqing, China"", ""Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Science, Beijing, China"", ""School of Electronics and Information Engineering, Sichuan University, Chengdu, China""]",32.0615513,118.7915619
88,"Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Science, Beijing, China","[""State Key Laboratory of Millimeter Waves, Southeast University, Nanjing, China"", ""School of Physics, Southwest University, Chongqing, China""]",39.9057136,116.3912972
89,"School of Physics, Southwest University, Chongqing, China","[""State Key Laboratory of Millimeter Waves, Southeast University, Nanjing, China"", ""Key Laboratory of Semiconductor Materials Science, Institute of Semiconductors, Chinese Academy of Science, Beijing, China"", ""School of Electronics and Information Engineering, Sichuan University, Chengdu, China""]",29.5656729,106.5479189
90,"Nano-Integrated Circuit Engineering, National Cheng Kung University, Tainan, Taiwan","[""Department of Photonics, National Cheng Kung University, Tainan, Taiwan"", ""Department of Electrical Engineering, Yuan Ze University, Taoyuan, Taiwan""]",22.9912348,120.184982
91,"Department of Electrical Engineering, Yuan Ze University, Taoyuan, Taiwan","[""Nano-Integrated Circuit Engineering, National Cheng Kung University, Tainan, Taiwan"", ""Department of Photonics, National Cheng Kung University, Tainan, Taiwan""]",24.9929995,121.3010003
92,"Department of Photonics, National Cheng Kung University, Tainan, Taiwan","[""Nano-Integrated Circuit Engineering, National Cheng Kung University, Tainan, Taiwan"", ""Department of Electrical Engineering, Yuan Ze University, Taoyuan, Taiwan""]",22.9912348,120.184982
93,"Semiconductor Research and Development Center, IBM Microelectronics, Hopewell Junction, NY, USA","[""School of Electrical Engineering and Computer Science, University of Central Florida, Orlando, FL, USA""]",43.1561681,-75.8449946
94,"School of Electrical Engineering and Computer Science, University of Central Florida, Orlando, FL, USA","[""Advanced Power Semiconductor Development Group, Toshiba Corporation, Kawasaki, Japan"", ""Semiconductor Research and Development Center, IBM Microelectronics, Hopewell Junction, NY, USA""]",27.7567667,-81.4639835
95,"Assembly and Test Technology Development, Intel Corporation, Chandler, AZ, USA",[],34.395342,-111.763275
96,"School of Materials Engineering, Nanyang Technological University, Singapore","[""National Key Laboratory on High Power Semiconductor Lasers, Changchun University of Science and Technology, Changchun, China""]",1.3484104000000001,103.68293320728537
